PLUGIN_ID,THREAD_ID,DESCRIPTION,BLANK
"org.cougaar.logistics.plugin.inventory.InventoryPlugin|Subsistence","CLASS-1","InventoryManagementPlugin",
"org.cougaar.logistics.plugin.inventory.InventoryPlugin|BulkPOL","CLASS-3","InventoryManagementPlugin",
"org.cougaar.logistics.plugin.inventory.InventoryPlugin|PackagedPOL","CLASS-3","InventoryManagementPlugin",
"org.cougaar.logistics.plugin.inventory.InventoryPlugin|Ammunition","CLASS-5","InventoryManagementPlugin",
"org.cougaar.logistics.plugin.inventory.InventoryPlugin|Consumable","CLASS-9","InventoryManagementPlugin",
"org.cougaar.logistics.plugin.inventory.LogisticsOPlanPlugin","BASE","InventoryManagementPlugin",
"org.cougaar.logistics.ldm.MEIPrototypeProvider","BASE","ProvidesMEIassetprototypes&PGsfromdatabase",
"org.cougaar.logistics.ldm.PartsPrototypeProvider","BASE","ProvidesPartassetprototypes&PGsfromdatabase",
"org.cougaar.logistics.ldm.ClassIConsumerPrototypeProvider","CLASS-1","SubsistenceConsumerLDM",
"org.cougaar.logistics.ldm.ClassIPartsPrototypeProvider","CLASS-1","SubsistenceLDM",
"org.cougaar.logistics.plugin.demand.DemandForecastPlugin|Ammunition","CLASS-5","SupplyProjectorPlugin:Ammunition",
"org.cougaar.logistics.plugin.demand.DemandGeneratorPlugin|Ammunition","CLASS-5","SupplyProjectorPlugin:Ammunition",
"org.cougaar.logistics.plugin.demand.DemandForecastPlugin|BulkPOL","CLASS-3","SupplyProjectorPlugin:BulkPOL",
"org.cougaar.logistics.plugin.demand.DemandGeneratorPlugin|BulkPOL","CLASS-3","SupplyProjectorPlugin:BulkPOL",
"org.cougaar.logistics.plugin.demand.DemandForecastPlugin|PackagedPOL","CLASS-3","SupplyProjectorPlugin:PackagedPOL",
"org.cougaar.logistics.plugin.demand.DemandGeneratorPlugin|PackagedPOL","CLASS-3","SupplyProjectorPlugin:PackagedPOL",
"org.cougaar.logistics.plugin.demand.DemandForecastPlugin|Consumable","CLASS-9","SupplyProjectorPlugin:Consumable",
"org.cougaar.logistics.plugin.demand.DemandGeneratorPlugin|Consumable","CLASS-9","SupplyProjectorPlugin:Consumable",
"org.cougaar.logistics.plugin.demand.DemandForecastPlugin|Subsistence","CLASS-1","SupplyProjectorPlugin:Subsistence",
"org.cougaar.logistics.plugin.demand.DemandGeneratorPlugin|Subsistence","CLASS-1","SupplyProjectorPlugin:Subsistence",
"mil.darpa.log.alpine.blackjack.plugins.TransportAggregatorPlugin","BASE","TransportAggregator(Obsolete",
"mil.darpa.log.alpine.blackjack.plugins.TransportAllocatorPlugin","BASE","TransportAllocator",
"mil.darpa.log.alpine.blackjack.plugins.TransportExpanderPlugin","BASE","TransportExpander",
"org.cougaar.logistics.plugin.packer.ALAmmoPacker","BASE","Packsammo",
"org.cougaar.logistics.plugin.trans.AmmoLowFidelityExpanderPlugin","BASE","Low-fi supply transport expander",
"org.cougaar.logistics.plugin.trans.AmmoProjectionExpanderPlugin","BASE","Projection supply transport expander",
"org.cougaar.mlm.construction.ConstructionInventoryPlugin","CLASS-4","ConstructionInventoryPlugin",
"org.cougaar.mlm.construction.ConstructionProjectionPlugin","CLASS-4","ConstructionProjectionPlugin",
"org.cougaar.mlm.construction.DTConstructionExpanderPlugin","CLASS-4","ConstructionExpanderPlugin",
"org.cougaar.mlm.plugin.generic.GenericTablePlugin","BASE","RulebasedallocatorPlugin.Uses%ALLOCATION_RULE%",
"org.cougaar.mlm.plugin.generic.PropagationPlugin","BASE","RulebasedpolicypropagationPlugin.Uses%PROPAG",
"org.cougaar.mlm.plugin.generic.UniversalExpanderPlugin","BASE","GenericUniversalExpanderPlugin-Specializedforconstruction??",
"org.cougaar.mlm.plugin.ldm.GetOplanPlugin","BASE","RedeemstheOplancoupon",
"org.cougaar.mlm.plugin.ldm.LDMSQLPlugin","BASE","CreatesassetsbasedonresultsofanSQLquery",
"org.cougaar.logistics.plugin.policy.LogisticsPolicyManagerPlugin","BASE","AninstanceofanLDMPluginthatreadsaCluster's",
"org.cougaar.mlm.plugin.organization.GLSAllocatorPlugin","BASE","ExpandsGLStaskforeachsubordinateandallocate",
"org.cougaar.mlm.plugin.organization.GLSExpanderPlugin","BASE","ExpandsGLStask",
"org.cougaar.mlm.plugin.organization.GLSInitServlet","BASE","Initializes GLS",
"org.cougaar.mlm.plugin.organization.OrgReportPlugin","BASE","SubscribestoRFDtasksandRFStasksandgenerate",
"org.cougaar.mlm.plugin.organization.OrgRTDataPlugin","BASE","Reads*-prototype-ini.dat;createsorgassets",
"org.cougaar.mlm.plugin.organization.OrgTPRTDataPlugin","BASE","TimePhasedversion.Reads*-prototype-ini.datand*-relationship.ini.createsorgassets",
"org.cougaar.mlm.plugin.organization.OrgDataPlugin","BASE","Createsorgassets",
"org.cougaar.mlm.plugin.sample.StrategicTransportProjectorPlugin","BASE","ProjectsStrategicTransportrequirements",
"org.cougaar.mlm.plugin.sample.UniversalAllocatorPlugin","BASE","UniversalAllocator",
"org.cougaar.mlm.plugin.xml.XMLPrototypeProviderPlugin","BASE","Providesassetprototypes&PGsfromxmlfiles",
"org.cougaar.planning.ldm.trigger.TriggerManagerPlugin","BASE","Thispluginmanagestriggersthathavebeencreate",
"org.cougaar.logistics.plugin.trans.GroundVishnuPlugin","BASE","VishnuGroundTransportationPlugin",
"org.cougaar.lib.plugin.UTILLdmXMLPlugin","STRATEGIC-TRANS","GLMTrans-style LDM plugin that populates cluster with assets",
"org.cougaar.logistics.plugin.trans.base.GLMTransOneToManyExpanderPlugin","STRATEGIC-TRANS","Expands tasks with aggregate assets or asset groups into item assets",
"org.cougaar.logistics.plugin.trans.TranscomVishnuPlugin","STRATEGIC-TRANS","Vishnu plugin that routes tasks to either GlobalSea or GlobalAir or allocates to a null asset",
"org.cougaar.logistics.plugin.trans.SequentialGlobalAirPlugin","STRATEGIC-TRANS","Sequential backwards planning plugin that manages the air expansion",
"org.cougaar.logistics.plugin.trans.SequentialGlobalSeaPlugin","STRATEGIC-TRANS","Sequential backwards planning plugin that manages the sea expansion",
"org.cougaar.logistics.plugin.trans.TransportExpanderPlugin","STRATEGIC-TRANS","Expands incoming transport tasks into aggregates that are no larger than the largest asset",
"org.cougaar.logistics.plugin.trans.GroundTransportAllocatorPlugin","STRATEGIC-TRANS","Handles allocations to truck/rail assets and to self-transportables",
"org.cougaar.logistics.plugin.trans.GenericVishnuPlugin","STRATEGIC-TRANS","Generic Vishnu scheduler that maps cargo assets to transportation assets",
"org.cougaar.logistics.plugin.trans.TransportAllocatorPlugin","STRATEGIC-TRANS","Handles allocations to generic transportation assets",
"org.cougaar.logistics.plugin.trans.SeaVishnuPlugin","STRATEGIC-TRANS","Vishnu scheduler that uses a custom translation specific to ships",
"org.cougaar.logistics.plugin.trans.SeaTransportExpanderPlugin","STRATEGIC-TRANS","Breaks up incoming tasks into subtasks with sub-assets that are no bigger than the largest carrier asset",
