COMMODITY,NSN,NOMENCLATURE,UI,SSC,PRICE,ICC,ALT,PLT,PCM,BOQ,DIQ,IAQ,NSO,QFD,ROP,OWRMRP,WEIGHT,CUBE,AAC,SLQ
NULL,2540004072610,"SEAT,VEHICULAR",EA,NULL,755,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,140,12.731,D,NULL
NULL,2610002628677,"TIRE,PNEUMATIC,VEHICULAR",EA,NULL,123,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,93,9.3,D,NULL
NULL,2815012148820,ENGINEWITH,EA,NULL,14639,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3086,95.318,C,NULL
NULL,2590012687208,PRE-CLEANERASSEMBLY,EA,NULL,1966,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,95.3,14.131,D,NULL
NULL,2835012691234,ENGINEMODULEFORWARD,EA,NULL,234092,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1155,52.486,C,NULL
NULL,2520013259834,"TRANSMISSION,HYDRAULIC",EA,NULL,195908,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6036,157.923,C,NULL
NULL,2610011714746,"TIRE,PNEUMATIC,VEHICULAR",EA,NULL,173,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55,8.696,D,NULL
NULL,2540011623834,"HEATER,VEHICULAR,COMPARTMEN",EA,NULL,1486,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,47.5,5.452,V,NULL
NULL,6150013101829,"CABLEASSEMBLY,POWER,",EA,NULL,394,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70,3.941,D,NULL
NULL,8340001347512,TENT,EA,NULL,1567,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,135,7.86,D,NULL
NULL,2520010870156,TRANSFERTRANSMISSION,EA,NULL,2062,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,310,26.5,C,NULL
NULL,2520011202169,"TRANSMISSION,HYDRAULIC,",EA,NULL,5480,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,379,15.686,C,NULL
